iter	Passed	Remaining
0	1	179
1	3	175
2	5	165
3	6	159
4	8	155
5	9	150
6	11	146
7	12	143
8	13	140
9	15	137
10	16	135
11	18	134
12	19	132
13	21	130
14	22	128
15	24	126
16	25	123
17	26	122
18	28	120
19	29	118
20	31	117
21	32	115
22	34	114
23	35	112
24	36	110
25	38	109
26	39	108
27	41	106
28	42	104
29	44	103
30	45	101
31	47	100
32	48	98
33	50	97
34	51	95
35	52	94
36	54	92
37	55	90
38	57	89
39	58	87
40	59	86
41	61	84
42	62	83
43	63	81
44	65	79
45	66	78
46	68	76
47	69	75
48	71	74
49	72	72
50	73	71
51	75	69
52	76	68
53	78	66
54	79	65
55	81	63
56	82	62
57	84	60
58	85	59
59	87	58
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	105	39
73	107	37
74	108	36
75	110	34
76	111	33
77	113	31
78	114	30
79	115	28
80	116	27
81	118	25
82	119	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	128	15
89	130	14
90	131	13
91	133	11
92	134	10
93	135	8
94	137	7
95	138	5
96	140	4
97	141	2
98	143	1
99	144	0
