iter	Passed	Remaining
0	160	160285
1	162	80909
2	165	54881
3	167	41794
4	169	33701
5	170	28299
6	172	24435
7	173	21544
8	175	19296
9	177	17617
10	180	16236
11	182	14994
12	183	13941
13	185	13054
14	186	12275
15	188	11585
16	189	10974
17	192	10497
18	195	10074
19	196	9630
20	197	9229
21	199	8868
22	200	8537
23	202	8231
24	203	7948
25	206	7754
26	208	7514
27	209	7289
28	211	7079
29	212	6882
30	214	6700
31	215	6530
32	217	6368
33	218	6217
34	221	6110
35	223	5976
36	224	5847
37	226	5725
38	227	5609
39	229	5496
40	230	5390
41	231	5289
42	235	5240
43	237	5149
44	238	5061
45	239	4976
46	241	4893
47	242	4817
48	244	4742
49	245	4672
50	247	4608
51	249	4549
52	251	4487
53	252	4425
54	254	4364
55	255	4307
56	257	4252
57	258	4199
58	260	4150
59	261	4102
60	263	4061
61	265	4014
62	266	3968
63	268	3923
64	269	3879
65	271	3836
66	272	3794
67	274	3757
68	275	3718
69	278	3699
70	280	3666
71	281	3629
72	283	3594
73	284	3560
74	285	3526
75	287	3495
76	288	3464
77	290	3432
78	293	3416
79	294	3387
80	295	3357
81	297	3330
82	298	3295
83	299	3267
84	301	3243
85	302	3217
86	304	3192
87	306	3175
88	308	3152
89	309	3129
90	311	3106
91	312	3083
92	313	3061
93	315	3039
94	316	3018
95	318	2997
96	319	2976
97	321	2962
98	323	2942
99	324	2922
100	326	2903
101	327	2886
102	329	2867
103	330	2850
104	332	2831
105	333	2813
106	335	2804
107	337	2787
108	338	2770
109	340	2754
110	341	2738
111	343	2723
112	344	2707
113	346	2691
114	347	2678
115	350	2671
116	351	2654
117	353	2640
118	354	2625
119	356	2612
120	357	2599
121	359	2584
122	360	2571
123	362	2558
124	364	2550
125	366	2542
126	368	2530
127	369	2519
128	371	2506
129	372	2494
130	374	2481
131	375	2469
132	378	2469
133	382	2471
134	385	2469
135	387	2459
136	388	2449
137	394	2466
138	400	2478
139	403	2477
140	405	2471
141	406	2458
142	413	2476
143	415	2471
144	418	2465
145	419	2455
146	421	2444
147	425	2448
148	429	2452
149	431	2446
150	433	2437
151	435	2427
152	436	2416
153	439	2415
154	445	2426
155	447	2420
156	448	2410
157	450	2399
158	451	2389
159	453	2381
160	457	2382
161	460	2380
162	462	2376
163	464	2367
164	466	2358
165	469	2358
166	472	2354
167	474	2349
168	477	2347
169	479	2339
170	480	2329
171	483	2325
172	488	2334
173	490	2326
174	491	2317
175	493	2308
176	494	2299
177	495	2290
178	502	2304
179	505	2301
180	507	2294
181	508	2286
182	510	2277
183	511	2269
184	514	2268
185	517	2265
186	519	2258
187	521	2252
188	523	2244
189	524	2236
190	528	2236
191	530	2234
192	532	2226
193	534	2218
194	535	2211
195	537	2205
196	540	2203
197	543	2201
198	544	2193
199	546	2185
200	547	2178
201	549	2170
202	552	2168
203	557	2173
204	560	2173
205	562	2166
206	564	2163
207	566	2157
208	568	2149
209	570	2146
210	574	2148
211	576	2141
212	577	2135
213	579	2128
214	580	2121
215	582	2114
216	583	2107
217	586	2105
218	589	2103
219	591	2096
220	592	2090
221	594	2082
222	595	2075
223	597	2068
224	598	2061
225	601	2059
226	604	2058
227	606	2053
228	607	2046
229	609	2039
230	610	2033
231	612	2026
232	613	2020
233	618	2026
234	620	2020
235	622	2014
236	623	2008
237	625	2002
238	626	1995
239	628	1989
240	629	1984
241	632	1980
242	634	1976
243	635	1970
244	637	1963
245	639	1958
246	640	1952
247	642	1946
248	644	1942
249	647	1942
250	649	1937
251	650	1931
252	652	1925
253	653	1919
254	654	1913
255	656	1907
256	660	1908
257	662	1905
258	664	1900
259	665	1895
260	667	1890
261	669	1885
262	670	1879
263	672	1873
264	674	1871
265	677	1870
266	679	1865
267	680	1859
268	682	1853
269	683	1848
270	685	1842
271	686	1837
272	689	1835
273	691	1833
274	693	1828
275	695	1823
276	696	1818
277	698	1813
278	699	1807
279	701	1803
280	705	1804
281	706	1799
282	708	1794
283	709	1789
284	711	1784
285	712	1779
286	714	1774
287	716	1770
288	719	1770
289	721	1766
290	722	1761
291	724	1756
292	726	1752
293	727	1747
294	729	1742
295	730	1738
296	734	1738
297	737	1737
298	739	1732
299	740	1727
300	742	1723
301	743	1718
302	744	1713
303	747	1711
304	750	1709
305	753	1708
306	755	1704
307	756	1699
308	758	1695
309	759	1691
310	761	1686
311	765	1688
312	768	1685
313	769	1681
314	771	1676
315	772	1672
316	773	1667
317	775	1662
318	778	1661
319	781	1660
320	783	1657
321	785	1654
322	787	1649
323	788	1645
324	790	1640
325	794	1641
326	796	1639
327	797	1634
328	799	1630
329	800	1626
330	802	1621
331	804	1617
332	809	1620
333	814	1624
334	816	1620
335	818	1616
336	820	1613
337	834	1634
338	844	1645
339	845	1641
340	847	1637
341	849	1634
342	851	1631
343	855	1631
344	857	1628
345	859	1624
346	860	1619
347	862	1615
348	869	1621
349	870	1617
350	872	1613
351	874	1609
352	875	1604
353	876	1600
354	878	1596
355	882	1597
356	884	1593
357	886	1589
358	887	1585
359	889	1581
360	890	1577
361	898	1583
362	900	1579
363	902	1576
364	904	1572
365	905	1568
366	907	1564
367	918	1578
368	922	1577
369	930	1584
370	932	1581
371	935	1578
372	937	1576
373	940	1574
374	942	1571
375	944	1567
376	946	1563
377	947	1559
378	948	1554
379	950	1550
380	953	1548
381	956	1547
382	957	1543
383	959	1539
384	961	1535
385	962	1531
386	964	1527
387	966	1525
388	969	1523
389	971	1519
390	973	1515
391	974	1511
392	976	1508
393	977	1504
394	979	1500
395	982	1498
396	983	1494
397	985	1491
398	988	1488
399	991	1487
400	998	1490
401	1000	1488
402	1002	1485
403	1005	1483
404	1009	1482
405	1011	1479
406	1016	1480
407	1019	1479
408	1028	1486
409	1030	1483
410	1038	1488
411	1042	1487
412	1044	1484
413	1046	1481
414	1065	1501
415	1069	1501
416	1080	1510
417	1083	1509
418	1087	1508
419	1091	1506
420	1108	1524
421	1111	1522
422	1120	1528
423	1124	1527
424	1127	1524
425	1129	1521
426	1140	1529
427	1143	1528
428	1145	1524
429	1149	1523
430	1154	1523
431	1157	1522
432	1160	1519
433	1169	1524
434	1171	1521
435	1173	1517
436	1175	1514
437	1178	1512
438	1184	1513
439	1186	1510
440	1188	1507
441	1191	1504
442	1202	1512
443	1205	1510
444	1208	1506
445	1219	1514
446	1223	1513
447	1233	1520
448	1235	1516
449	1248	1525
450	1250	1521
451	1252	1518
452	1254	1514
453	1265	1522
454	1268	1518
455	1272	1517
456	1282	1523
457	1284	1520
458	1304	1537
459	1310	1538
460	1312	1534
461	1314	1530
462	1316	1527
463	1322	1528
464	1324	1524
465	1330	1524
466	1338	1527
467	1340	1523
468	1342	1519
469	1344	1516
470	1347	1513
471	1355	1516
472	1357	1512
473	1360	1510
474	1364	1508
475	1367	1505
476	1370	1502
477	1375	1502
478	1377	1498
479	1382	1497
480	1385	1495
481	1388	1491
482	1391	1489
483	1404	1497
484	1407	1494
485	1409	1490
486	1414	1489
487	1419	1488
488	1434	1498
489	1436	1495
490	1438	1491
491	1440	1487
492	1445	1486
493	1447	1482
494	1450	1479
495	1474	1498
496	1479	1497
497	1482	1494
498	1484	1490
499	1487	1487
500	1493	1487
501	1496	1484
502	1499	1481
503	1504	1480
504	1507	1477
505	1510	1474
506	1513	1471
507	1525	1477
508	1528	1474
509	1539	1479
510	1542	1476
511	1545	1472
512	1548	1470
513	1553	1468
514	1574	1482
515	1576	1478
516	1582	1478
517	1585	1475
518	1588	1472
519	1591	1469
520	1600	1471
521	1604	1469
522	1606	1465
523	1609	1462
524	1612	1458
525	1614	1454
526	1624	1458
527	1626	1454
528	1629	1450
529	1641	1455
530	1644	1452
531	1649	1451
532	1653	1448
533	1656	1445
534	1659	1442
535	1661	1438
536	1665	1435
537	1667	1432
538	1669	1428
539	1676	1428
540	1680	1425
541	1682	1421
542	1684	1417
543	1685	1413
544	1687	1408
545	1690	1405
546	1693	1402
547	1695	1398
548	1698	1395
549	1701	1392
550	1705	1389
551	1709	1387
552	1711	1383
553	1712	1378
554	1714	1374
555	1716	1370
556	1717	1366
557	1722	1364
558	1724	1360
559	1725	1355
560	1726	1351
561	1731	1349
562	1737	1348
563	1740	1345
564	1742	1341
565	1743	1337
566	1745	1332
567	1748	1329
568	1752	1327
569	1754	1323
570	1757	1320
571	1758	1316
572	1760	1311
573	1762	1307
574	1769	1308
575	1772	1304
576	1774	1300
577	1775	1296
578	1777	1292
579	1778	1288
580	1783	1286
581	1787	1283
582	1789	1280
583	1792	1276
584	1796	1274
585	1798	1270
586	1800	1266
587	1802	1263
588	1804	1259
589	1806	1255
590	1814	1255
591	1817	1252
592	1819	1249
593	1829	1250
594	1834	1248
595	1835	1244
596	1837	1240
597	1838	1236
598	1843	1234
599	1847	1231
600	1849	1227
601	1850	1223
602	1852	1219
603	1853	1215
604	1858	1213
605	1861	1210
606	1863	1206
607	1865	1202
608	1867	1199
609	1869	1194
610	1872	1192
611	1874	1188
612	1876	1184
613	1877	1180
614	1880	1176
615	1882	1173
